kepid,kepoi_name,koi_disposition,koi_score,koi_period,koi_duration,koi_depth,koi_time0bk,koi_prad,koi_ror,koi_dor,koi_impact,koi_incl,koi_srad,koi_smass,koi_steff,koi_slogg,koi_smet,koi_kepmag,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_vet_stat,koi_vet_date,koi_disp_prov,koi_period_err1,koi_period_err2,koi_duration_err1,koi_duration_err2,koi_depth_err1,koi_depth_err2,koi_prad_err1,koi_prad_err2,koi_steff_err1,koi_steff_err2
5784803,K05200.01,FALSE POSITIVE,0.05,357.77096,12.999,216.3,309.1578,1.42,0.013271,211.9,0.1056,89.95,0.981,0.871,5523.0,4.395,-0.02,14.161,1,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,0.01451,-0.01451,0.828,-0.828,28.6,-28.6,0.54,-0.19,159.0,-134.0
5791713,K05201.01,FALSE POSITIVE,0.0551,531.33282,3.702,669.0,295.2843,2.67,0.023937,1070.0,0.3099,89.95,1.022,1.09,6163.0,4.457,-0.08,15.191,1,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,0.0123,-0.0123,0.734,-0.734,126.0,-126.0,1.18,-0.25,169.0,-227.0
6681473,K05312.01,FALSE POSITIVE,0.0,396.048721,16.376,931.8,471.22802,13.52,0.042957,67.0,0.978,89.16,2.882,1.332,5327.0,3.643,-0.18,12.992,1,0,1,0,Done,2018-08-16,q1_q17_dr25_sup_koi,0.006433,-0.006433,0.545,-0.545,29.2,-29.2,2.73,-4.11,148.0,-167.0
6688318,K05313.01,FALSE POSITIVE,0.1812,326.370361,4.526,568.8,190.3324,22.6,0.022149,493.0,0.4924,89.95,9.343,2.707,5188.0,2.929,0.07,10.963,1,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,0.005347,-0.005347,0.362,-0.362,44.0,-44.0,1.4,-7.19,77.0,-189.0
6690523,K05314.01,FALSE POSITIVE,0.3981,148.666527,4.353,319.4,156.8241,6.81,0.016121,255.0,0.2782,89.95,3.87,1.585,5155.0,3.462,-0.02,13.697,1,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,0.002936,-0.002936,0.964,-0.964,80.6,-80.6,3.0,-2.44,142.0,-181.0
6692742,K05315.01,FALSE POSITIVE,0.0981,163.104677,2.129,576.0,140.3163,2.58,0.02274,495.0,0.575,89.95,1.04,1.032,5766.0,4.418,0.18,15.201,1,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,0.003791,-0.003791,0.485,-0.485,126.0,-126.0,1.08,-0.3,175.0,-195.0
6695801,K05316.01,FALSE POSITIVE,0.0,1.10656965,1.669,86.4,132.3665,1.09,0.008587,4.97,0.263,86.97,1.165,1.211,6237.0,4.387,0.16,14.582,0,1,0,1,Done,2018-08-16,q1_q17_dr25_sup_koi,1.42e-05,-1.42e-05,0.268,-0.268,14.1,-14.1,0.38,-0.12,170.0,-227.0
6699562,K05317.01,FALSE POSITIVE,0.0,46.270524872,8.93033,66244.0,173.6558757,35.98,0.307384,39.0294,0.859,88.74,1.072,1.061,6357.0,4.405,-0.24,13.529,0,1,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,2.584e-06,-2.584e-06,0.00361,-0.00361,22.7,-22.7,11.38,-4.06,157.0,-204.0
6707260,K05318.01,FALSE POSITIVE,0.43789999999999996,13.4256161,11.781,142.3,144.7838,1.66,0.011421,7.15,0.5971,85.37,1.332,1.249,6686.0,4.283,-0.16,13.05,1,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,0.0003027,-0.0003027,0.823,-0.823,10.9,-10.9,0.73,-0.28,141.0,-228.0
6718474,K05319.01,FALSE POSITIVE,0.1573,590.44065,7.55,125.7,199.918,1.62,0.010439,579.0,0.2858,89.95,1.417,1.291,6782.0,4.243,-0.18,12.773,1,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,0.03236,-0.03236,1.4,-1.4,27.1,-27.1,0.94,-0.3,159.0,-236.0
2710101,K04952.01,FALSE POSITIVE,0.19749999999999998,28.88008607,1.35,44992.590000000004,144.4386895,39.910000000000004,0.2718419,11.2137,0.9557,85.10499999999999,1.1236,0.8705,5586.9,4.2812,-0.08600000000000001,15.363,1,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,0.0021544999999999997,-0.002152,0.34009999999999996,-0.34009999999999996,123.4,-122.9,11.594999999999999,-7.9590000000000005,178.9,-173.2
2711123,K04953.01,FALSE POSITIVE,0.0,2.858879267,2.3753,644.5,134.17606,515.07,0.289833,2.77,1.262,62.89,16.274,3.063,4893.0,2.501,0.07,12.529,0,1,1,1,Done,2018-08-16,q1_q17_dr25_sup_koi,5.926e-06,-5.926e-06,0.0827,-0.0827,20.4,-20.4,33.71,-202.3,71.0,-229.0
2833632,K04954.01,FALSE POSITIVE,0.2193,241.647602,1.742,361.7,325.21488,1.88,0.017411,1077.0,0.0404,89.95,0.989,0.994,5962.0,4.445,-0.12,13.586,1,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,0.002188,-0.002188,0.303,-0.303,72.1,-72.1,0.74,-0.2,154.0,-175.0
2836076,K04955.01,FALSE POSITIVE,0.19749999999999998,528.07962334,3.49,44992.590000000004,466.1720499,39.910000000000004,0.2718419,11.2137,0.9557,85.10499999999999,1.1236,0.8705,5586.9,4.2812,-0.08600000000000001,15.09,1,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,0.0021544999999999997,-0.002152,0.34009999999999996,-0.34009999999999996,123.4,-122.9,11.594999999999999,-7.9590000000000005,178.9,-173.2
2850321,K04956.01,FALSE POSITIVE,0.0,25.2218929,14.84,923.0899999999998,143.6316,32.004999999999995,0.25585610000000003,4.2587478999999995,1.2249,73.89199999999998,1.1261,0.8587,5592.5,4.2625,-0.11200000000000002,11.941,1,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,0.0021547999999999997,-0.002152,0.34009999999999996,-0.34009999999999996,123.4,-122.9,9.12,-7.290999999999999,160.8,-154.1
2861126,K04957.01,FALSE POSITIVE,0.19749999999999998,105.52127462,2.52,44992.590000000004,145.4682374,39.910000000000004,0.2718419,11.2137,0.9557,85.10499999999999,1.1236,0.8705,5586.9,4.2812,-0.08600000000000001,15.555,1,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,0.0021544999999999997,-0.002152,0.34009999999999996,-0.34009999999999996,123.4,-122.9,11.594999999999999,-7.9590000000000005,178.9,-173.2
2861298,K04958.01,CANDIDATE,0.1339,581.729006,6.647,186.7,341.09187,2.74,0.01253,660.0,0.2236,89.95,2.005,1.007,5765.0,3.837,-0.46,12.362,0,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,0.009361,-0.009361,0.41,-0.41,20.9,-20.9,1.38,-1.24,202.0,-173.0
2987433,K04959.01,FALSE POSITIVE,0.0,420.92920358,17.3985,86013.0,196.685958,62.76,0.480108,195.95,1.033,89.7,1.197,1.086,6461.0,4.319,-0.26,13.858,0,1,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,8.628e-05,-8.628e-05,0.0109,-0.0109,57.1,-57.1,18.71,-10.07,162.0,-211.0
4732137,K05077.01,FALSE POSITIVE,0.2264,393.946106,6.012,747.5,334.4022,18.07,0.035803,183.1,0.9691,89.95,4.622,1.179,4888.0,3.18,-0.04,12.768,1,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,0.005322,-0.005322,0.309,-0.309,67.3,-67.3,2.6,-1.87,112.0,-109.0
4736439,K05078.01,FALSE POSITIVE,0.2346,194.896925,2.504,557.4,252.0208,8.98,0.022201,520.0,0.5298,89.95,3.706,0.78,5269.0,3.193,-1.16,13.562,1,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,0.003912,-0.003912,0.62,-0.62,99.7,-99.7,6.98,-1.91,114.0,-105.0
4737848,K05079.01,CANDIDATE,0.4894,56.001782,1.706,125.2,144.09684,1.54,0.010573,219.6,0.5045,89.95,1.332,0.974,6116.0,4.178,-0.32,13.228,0,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,0.0006042,-0.0006042,0.304,-0.304,21.3,-21.3,0.7,-0.36,165.0,-177.0
4740375,K05080.01,FALSE POSITIVE,0.19749999999999998,471.95076253,5.03,44992.590000000004,172.3928906,39.910000000000004,0.2718419,11.2137,0.9557,85.10499999999999,1.1236,0.8705,5586.9,4.2812,-0.08600000000000001,14.817,1,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,0.0021544999999999997,-0.002152,0.34009999999999996,-0.34009999999999996,123.4,-122.9,11.594999999999999,-7.9590000000000005,178.9,-173.2
4741777,K05081.01,FALSE POSITIVE,0.4692,101.928291,2.171,243.5,182.2662,1.7,0.014044,359.0,0.1628,89.95,1.11,0.981,5489.0,4.339,0.36,14.353,1,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,0.001673,-0.001673,0.436,-0.436,59.1,-59.1,0.59,-0.28,157.0,-140.0
