kepid,kepoi_name,koi_score,koi_period,koi_duration,koi_depth,koi_time0bk,koi_prad,koi_ror,koi_dor,koi_impact,koi_incl,koi_srad,koi_smass,koi_steff,koi_slogg,koi_smet,koi_kepmag,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period_err1,koi_period_err2,koi_duration_err1,koi_duration_err2,koi_depth_err1,koi_depth_err2,koi_prad_err1,koi_prad_err2,koi_steff_err1,koi_steff_err2
10797460,K00752.01,1.0,9.48803557,2.9575,615.8,170.53875,2.26,0.022344,24.81,0.146,89.66,0.927,0.919,5455.0,4.467,0.14,15.347,0,0,0,0,2.775e-05,-2.775e-05,0.0819,-0.0819,19.5,-19.5,0.26,-0.15,81.0,-81.0
10797460,K00752.02,0.969,54.4183827,4.507,874.8,162.51384,2.83,0.027954,77.9,0.586,89.57,0.927,0.919,5455.0,4.467,0.14,15.347,0,0,0,0,0.0002479,-0.0002479,0.116,-0.116,35.5,-35.5,0.32,-0.19,81.0,-81.0
